name,gender ,year_of_birth,color,height_cm,Studbook,ueln,fei id,Microchip ,breeder ,owner,sire,dam,
A MISSTAKE ,GELDING,1997,CHESTNUT ,,-,,NOR40379,,ZETTERGREN ANDERS,MORTEN GRANDE,,,
,,,,,,,,,,,,,
A NEW DAY,GELDING,2016,OTHER DUN,,WESTF,276441410517316A,108BS33,276020000500073A,ELKE KÜHN,UDO MÜLLER,A NEW STAR I,CHAKIRA 15,
,,,,,,,,,,,,,
A PIECE OF ART,GELDING,2020,BAY,,,372IRE45346263T,1090J58,985101045346263A,PATRICK  RAYAN,JENNY WALSH,GUSTAV KILIMT,FOREIGN ART,
,,,,,,,,,,,,,
A TAD COOL,GELDING,1992,CHESTNUT,,HACKNEY CROSS,,CAN40430,,,SUSANNE DUTT-ROTH,,,
,,,,,,,,,,,,,
A TOUCH OF SPICE,MALE,1996,DUN,,,826069000116442A,102YY89,,,DIANA BEVAN,,,
,,,,,,,,,,,,,
A WISH BY LYS,GELDING,2000,CHESTNUT ,,,056002W00189822,NED41311,528246000146730A,ALLAERT REBECA,GOSSE AXEL,LYS DE DARMEN,HANNI,
,,,,,,,,,,,,,
A. C. SILVER STREAM,Stallion ,1994,GREY,,CONNEMARA,,AUT41045,,HELGA AUERBACH ,ANDREA HOCHFELLNER,SILVER ROCK ,WINDY BEAUTY,
,,,,,,,,,,,,,
A. ROSITA,MARE,2012,BLACK,,ESH,23300112A177022,106ME56,900008800284246A,ELLE LASSI,MARII HELEN EEK,ARIMAN OX,RENATE,
,,,,,,,,,,,,,
A.P.KENSINGTON ,GELDING,2000,OTHER DUN,,RHEIN,276443430620100A,GER45298,,ANDREA PORSCH,Gestüt Leuth / Schoenmackers u. Porsch,LEUTH KORIOLAN,DORINA,
,,,,,,,,,,,,,
A.W.I. RAVENNA,MARE,1999,GREY,,WELSH PONY,,AUT41075,,,BIRGIIT BÖSCH,REITLAND'S RAMIRO,A.W.I. WONDERFUL GIRL,
,,,,,,,,,,,,,
AACHQUELL,Stallion ,2006,CHESTNUT ,,BAVAR,,104EH13,,,,,,
,,,,,,,,,,,,,
AAGJE VAN BLAUWSCHUUR,MARE,2010,BAY,,BWP,56022000283434A,109QC05,968000003849005A,HUGO ABTS,SARAH BUYL,Niet gekend,Niet gekend,
,,,,,,,,,,,,,
